Date,window_start,window_end,actual_return_5d,predicted_return_5d,abs_return_error,absolute_price_error,article_count,weighted_news_score,max_weekly_strength_score,aligned_article_count,news_direction,news_aligned_with_actual_move,strong_weekly_news_effect,dominant_shift_context,top_news_titles,news_explanation
2023-01-24,2023-01-20,2023-01-31,0.1370033973117421,0.0020892914053127,0.1349141059064294,21.566020652593096,8,0.0,0.5,0,mixed/none,False,False,Pct_of_OI_NonComm_Spread_All z=1.4; noncommercial_net z=1.4; Traders_NonComm_Spread_All z=1.2; NonComm_Postions_Spread_All z=1.2,Arabica Coffee 4/5 Futures Historical Prices - Investing.com | Coffee - Price - Chart - Historical Data - News | Coffee Arabica Price (Monthly) - Historical Data & Trends,moderate/weak mixed news signal versus an actual upward weekly move; matched: no high-impact keyword cluster.
2026-01-27,2026-01-23,2026-02-03,-0.1365554632988002,-0.0019309985017589,0.1346244647970412,-49.44083469671335,8,0.0,0.75,0,mixed/none,False,False,Pct_of_OI_NonComm_Long_Other z=1.9; Pct_of_OI_Comm_Long_Other z=1.9; Pct_of_OI_Comm_Long_All z=1.8; Pct_of_OI_NonComm_Spread_All z=1.7,"World Coffee Prices 2026: Arabica, Robusta & Price Predictions | Coffee price forecast from 2026 to 2030. Luckin coffee stock price ... | Coffee (Arabica) Price Today — Chart, History & 2026 Forecast",moderate/weak mixed news signal versus an actual downward weekly move; matched: no high-impact keyword cluster.
2025-08-18,2025-08-14,2025-08-25,0.1348952423753797,0.0003876902504989,0.1345075521248807,46.21679573107798,8,5.0,4.25,1,bullish,True,True,Pct_of_OI_Comm_Long_All z=2.1; Pct_of_OI_NonComm_Spread_All z=2.1; weather_colombia_huila_shortwave_radiation_sum_roll20 z=1.8; weather_colombia_huila_temperature_2m_max_roll20 z=1.7,Coffee - Price - Chart - Historical Data - News | Coffee (Arabica) price information - FT.com | Coffee C Futures Pricing,strong bullish news signal versus an actual upward weekly move; matched: no high-impact keyword cluster.
2025-02-03,2025-01-30,2025-02-10,0.1264111175322566,-0.0067271051144326,0.1331382226466892,50.712348193512696,8,-3.0,2.0,0,bearish,False,False,Pct_of_OI_Comm_Long_All z=3.7; noncommercial_net z=2.6; NonComm_Positions_Long_All z=2.4; Pct_of_OI_NonComm_Long_Other z=1.9,Coffee Cost Crisis Estimated to Ease With Predictions of 30% Fall by ... | Arabica coffee prices seen falling 30% by end-2025 | Reuters | Coffee C Futures Pricing,"moderate/weak bearish news signal versus an actual upward weekly move; matched: ease, falling."
2025-08-12,2025-08-08,2025-08-19,0.1302554945440688,-0.0013656411838303,0.1316211357278991,41.48040012129576,8,0.0,0.5,0,mixed/none,False,False,Pct_of_OI_NonComm_Spread_All z=2.5; Pct_of_OI_Comm_Long_All z=2.1; weather_colombia_huila_temperature_2m_max_roll20 z=1.5; weather_colombia_huila_temperature_2m_mean_roll20 z=1.5,Coffee - Price - Chart - Historical Data - News | Coffee C Futures Pricing | Coffee (Arabica) price information - FT.com,moderate/weak mixed news signal versus an actual upward weekly move; matched: no high-impact keyword cluster.
2026-06-09,2026-06-05,2026-06-16,0.134410830294166,0.0050825953872068,0.1293282349069591,31.607819821903917,5,-1.0,1.0,0,bearish,False,False,Pct_of_OI_NonComm_Spread_All z=3.2; weather_colombia_huila_soil_temperature_0_to_100cm_mean_roll5 z=2.8; weather_colombia_huila_soil_temperature_0_to_100cm_mean z=2.6; weather_colombia_huila_soil_temperature_0_to_100cm_mean_roll20 z=2.5,Uganda Ebola Crisis : Coffee Trade Risk Offset by Global Supply Boom | Uganda Ebola Crisis : Coffee Trade Risk Offset by Global Supply Boom | Uganda Ebola Crisis : Coffee Trade Risk Offset by Global Supply Boom,moderate/weak bearish news signal versus an actual upward weekly move; matched: no high-impact keyword cluster.
2025-08-13,2025-08-09,2025-08-20,0.1271902162708913,0.0001076701241864,0.1270825461467049,40.61558252413721,8,0.0,0.5,0,mixed/none,False,False,Pct_of_OI_NonComm_Spread_All z=2.5; Pct_of_OI_Comm_Long_All z=2.1; weather_colombia_huila_temperature_2m_max_roll20 z=1.6; weather_colombia_huila_temperature_2m_mean_roll20 z=1.5,Coffee - Price - Chart - Historical Data - News | Coffee C Futures Pricing | Coffee Prices and Coffee Futures Prices - Barchart.com,moderate/weak mixed news signal versus an actual upward weekly move; matched: no high-impact keyword cluster.
2024-07-01,2024-06-27,2024-07-08,0.1116012500764791,-0.0138124792264988,0.1254137293029779,28.43129205025275,8,0.0,0.5,0,mixed/none,False,False,Pct_of_OI_Swap_Short_All z=5.5; Pct_of_OI_Swap_Short_Old z=5.3; Swap_Positions_Short_Other z=5.2; Swap__Positions_Short_All z=4.4,Coffee Jul '24 Futures Price - Barchart.com | Coffee (Arabica) price information - FT.com | Arabica Coffee 4/5 Futures Historical Prices - Investing.com,moderate/weak mixed news signal versus an actual upward weekly move; matched: no high-impact keyword cluster.
2024-03-28,2024-03-24,2024-04-04,0.1252316289760719,0.0001010767542608,0.1251305522218111,23.630905550825304,8,0.0,0.75,0,mixed/none,False,False,weather_colombia_huila_temperature_2m_max_roll20 z=2.6; Pct_of_OI_NonComm_Long_Other z=2.6; weather_colombia_huila_temperature_2m_mean_roll20 z=2.6; weather_colombia_huila_soil_temperature_0_to_100cm_mean_roll5 z=2.5,Coffee - Price - Chart - Historical Data - News | Coffee C Futures Pricing | Arabica Coffee Prices at 2024-Lows - TRADING ECONOMICS,moderate/weak mixed news signal versus an actual upward weekly move; matched: no high-impact keyword cluster.
2025-09-15,2025-09-11,2025-09-22,-0.1503411566610163,-0.0253880211967461,0.1249531354642702,-54.02348888063062,8,1.0,5.0,1,bullish,False,True,Pct_of_OI_Swap_Short_All z=3.5; Traders_Swap_Short_Old z=3.4; Traders_Swap_Short_All z=3.4; swap_dealer_net z=3.4,Arabica Coffee Futures Stay Near 7-Month Highs - TRADING ECONOMICS | Arabica Coffee Hits Highest Since February on Supply Concerns | Coffee C Futures Pricing,"strong bullish news signal versus an actual downward weekly move; matched: highest, highs, supply concerns."
2024-04-29,2024-04-25,2024-05-06,-0.1406551302687657,-0.0165908488066362,0.1240642814621295,-28.975213314094503,8,0.0,0.5,0,mixed/none,False,False,Pct_of_OI_Comm_Long_All z=2.8; NonComm_Positions_Long_All z=2.8; noncommercial_net z=2.4; Pct_of_OI_NonComm_Long_Other z=2.3,Arabica Coffee 4/5 Futures Historical Prices - Investing.com | Coffee C Futures Pricing | Coffee (Arabica) price information - FT.com,moderate/weak mixed news signal versus an actual downward weekly move; matched: no high-impact keyword cluster.
2025-12-10,2025-12-06,2025-12-17,-0.1220059765115146,0.0011400414075821,0.1231460179190968,-49.356922478726744,6,3.0,1.75,1,bullish,False,False,Pct_of_OI_Comm_Long_All z=2.9; Pct_of_OI_NonComm_Long_Other z=2.0; Pct_of_OI_Comm_Long_Other z=1.8; Pct_of_OI_NonComm_Spread_All z=1.6,Brazil Robusta Coffee Growers Push For Quality | India Coffee Exports Set to Top $2 Billion in 2025 on Surging Global Prices | Coffee prices are soaring and caffeine addicts are switching vices,moderate/weak bullish news signal versus an actual downward weekly move; matched: soaring.
2024-12-02,2024-11-28,2024-12-09,0.1106282561346756,-0.0122225130831095,0.1228507692177851,36.756951649604446,8,0.0,0.75,0,mixed/none,False,False,Pct_of_OI_Comm_Long_All z=2.8; noncommercial_net z=2.4; NonComm_Positions_Long_All z=2.2; Pct_of_OI_NonComm_Long_Other z=1.8,Coffee C Futures Pricing | Coffee Dec '24 Futures Price - Barchart.com | Coffee (Arabica) price information - FT.com,moderate/weak mixed news signal versus an actual upward weekly move; matched: no high-impact keyword cluster.
2026-01-28,2026-01-24,2026-02-04,-0.1206552880442041,-0.0001469724017002,0.1205083156425039,-42.29841879051884,2,-3.0,2.5,1,bearish,True,False,Pct_of_OI_NonComm_Long_Other z=1.9; Pct_of_OI_Comm_Long_Other z=1.9; Pct_of_OI_Comm_Long_All z=1.8; Pct_of_OI_NonComm_Spread_All z=1.7,"Why Are Coffee Prices Falling , and How Much Lower Will They Go ?  | Over 80 , 000 Keurig Coffee Pods Were Recalled : What to Know","moderate/weak bearish news signal versus an actual downward weekly move; matched: falling, lower."
2024-11-19,2024-11-15,2024-11-26,0.1158176725522228,-0.0038757591746088,0.1196934317268317,33.48423752558119,0,0.0,0.0,0,mixed/none,False,False,noncommercial_net z=2.3; Pct_of_OI_Comm_Long_All z=2.2; NonComm_Positions_Long_All z=2.0; Pct_of_OI_NonComm_Long_Other z=1.5,,No relevant dated public-news result found in the search window.
